window_size,density,local,condition,test,channel_count,time_count,total_count,amp,noise
20,31,FALSE,vs_left,sw,26,10,10,6030,0.2
20,31,FALSE,difference,sw,2,3,3,6030,0.2
4,86,TRUE,baseline,sw,2,4,4,8020,0.1
4,86,TRUE,vs_right,sw,20,37,37,8020,0.1
4,86,TRUE,vs_left,sw,24,34,34,8020,0.1
4,86,TRUE,difference,sw,2,8,8,8020,0.1
4,86,FALSE,baseline,sw,6,21,21,8020,0.1
4,86,FALSE,vs_right,sw,28,42,42,8020,0.1
4,86,FALSE,vs_left,sw,38,45,45,8020,0.1
4,86,FALSE,difference,sw,7,20,20,8020,0.1
4,64,TRUE,baseline,sw,3,7,7,8020,0.1
4,64,TRUE,vs_right,sw,14,31,31,8020,0.1
4,64,TRUE,vs_left,sw,17,31,31,8020,0.1
4,64,TRUE,difference,sw,2,8,8,8020,0.1
4,64,FALSE,baseline,sw,6,25,25,8020,0.1
4,64,FALSE,vs_right,sw,22,32,32,8020,0.1
4,64,FALSE,vs_left,sw,34,50,50,8020,0.1
4,64,FALSE,difference,sw,5,18,18,8020,0.1
4,31,TRUE,baseline,sw,2,4,4,8020,0.1
4,31,TRUE,vs_right,sw,6,33,33,8020,0.1
4,31,TRUE,vs_left,sw,7,34,34,8020,0.1
4,31,TRUE,difference,sw,2,6,6,8020,0.1
4,31,FALSE,baseline,sw,4,14,14,8020,0.1
4,31,FALSE,vs_right,sw,13,35,35,8020,0.1
4,31,FALSE,vs_left,sw,16,40,40,8020,0.1
4,31,FALSE,difference,sw,4,14,14,8020,0.1
20,86,TRUE,baseline,sw,0,0,0,8020,0.1
20,86,TRUE,vs_right,sw,12,9,9,8020,0.1
20,86,TRUE,vs_left,sw,14,7,7,8020,0.1
20,86,TRUE,difference,sw,0,0,0,8020,0.1
20,86,FALSE,baseline,sw,0,0,0,8020,0.1
20,86,FALSE,vs_right,sw,8,7,7,8020,0.1
20,86,FALSE,vs_left,sw,6,5,5,8020,0.1
20,86,FALSE,difference,sw,1,1,1,8020,0.1
20,64,TRUE,baseline,sw,1,1,1,8020,0.1
20,64,TRUE,vs_right,sw,10,9,9,8020,0.1
20,64,TRUE,vs_left,sw,12,5,5,8020,0.1
20,64,TRUE,difference,sw,0,0,0,8020,0.1
20,64,FALSE,baseline,sw,0,0,0,8020,0.1
20,64,FALSE,vs_right,sw,11,10,10,8020,0.1
20,64,FALSE,vs_left,sw,7,5,5,8020,0.1
20,64,FALSE,difference,sw,1,1,1,8020,0.1
20,31,TRUE,baseline,sw,1,1,1,8020,0.1
20,31,TRUE,vs_right,sw,6,7,7,8020,0.1
20,31,TRUE,vs_left,sw,6,6,6,8020,0.1
20,31,TRUE,difference,sw,0,0,0,8020,0.1
20,31,FALSE,baseline,sw,0,0,0,8020,0.1
20,31,FALSE,vs_right,sw,10,8,8,8020,0.1
20,31,FALSE,vs_left,sw,5,4,4,8020,0.1
20,31,FALSE,difference,sw,1,2,2,8020,0.1
4,86,TRUE,baseline,sw,4,16,16,8020,0.2
4,86,TRUE,vs_right,sw,26,41,41,8020,0.2
4,86,TRUE,vs_left,sw,25,36,36,8020,0.2
4,86,TRUE,difference,sw,6,16,16,8020,0.2
4,86,FALSE,baseline,sw,6,17,17,8020,0.2
4,86,FALSE,vs_right,sw,75,43,43,8020,0.2
4,86,FALSE,vs_left,sw,73,50,50,8020,0.2
4,86,FALSE,difference,sw,7,22,22,8020,0.2
4,64,TRUE,baseline,sw,4,9,9,8020,0.2
4,64,TRUE,vs_right,sw,17,40,40,8020,0.2
4,64,TRUE,vs_left,sw,17,35,35,8020,0.2
4,64,TRUE,difference,sw,3,7,7,8020,0.2
4,64,FALSE,baseline,sw,5,13,13,8020,0.2
4,64,FALSE,vs_right,sw,54,40,40,8020,0.2
4,64,FALSE,vs_left,sw,53,45,45,8020,0.2
4,64,FALSE,difference,sw,6,18,18,8020,0.2
4,31,TRUE,baseline,sw,1,3,3,8020,0.2
4,31,TRUE,vs_right,sw,7,39,39,8020,0.2
4,31,TRUE,vs_left,sw,7,37,37,8020,0.2
4,31,TRUE,difference,sw,2,6,6,8020,0.2
4,31,FALSE,baseline,sw,5,14,14,8020,0.2
4,31,FALSE,vs_right,sw,24,34,34,8020,0.2
4,31,FALSE,vs_left,sw,26,37,37,8020,0.2
4,31,FALSE,difference,sw,9,23,23,8020,0.2
20,86,TRUE,baseline,sw,0,0,0,8020,0.2
20,86,TRUE,vs_right,sw,25,6,6,8020,0.2
20,86,TRUE,vs_left,sw,24,7,7,8020,0.2
20,86,TRUE,difference,sw,1,2,2,8020,0.2
20,86,FALSE,baseline,sw,1,1,1,8020,0.2
20,86,FALSE,vs_right,sw,61,4,4,8020,0.2
20,86,FALSE,vs_left,sw,52,6,6,8020,0.2
20,86,FALSE,difference,sw,0,0,0,8020,0.2
20,64,TRUE,baseline,sw,0,0,0,8020,0.2
20,64,TRUE,vs_right,sw,17,5,5,8020,0.2
20,64,TRUE,vs_left,sw,17,7,7,8020,0.2
20,64,TRUE,difference,sw,2,4,4,8020,0.2
20,64,FALSE,baseline,sw,1,1,1,8020,0.2
20,64,FALSE,vs_right,sw,44,2,2,8020,0.2
20,64,FALSE,vs_left,sw,45,5,5,8020,0.2
20,64,FALSE,difference,sw,0,0,0,8020,0.2
20,31,TRUE,baseline,sw,0,0,0,8020,0.2
20,31,TRUE,vs_right,sw,7,4,4,8020,0.2
20,31,TRUE,vs_left,sw,7,7,7,8020,0.2
20,31,TRUE,difference,sw,3,5,5,8020,0.2
20,31,FALSE,baseline,sw,1,1,1,8020,0.2
20,31,FALSE,vs_right,sw,22,6,6,8020,0.2
20,31,FALSE,vs_left,sw,22,8,8,8020,0.2
20,31,FALSE,difference,sw,1,2,2,8020,0.2
4,86,TRUE,baseline,sw,2,5,5,8030,0.1
4,86,TRUE,vs_right,sw,24,33,33,8030,0.1
4,86,TRUE,vs_left,sw,23,35,35,8030,0.1
4,86,TRUE,difference,sw,2,4,4,8030,0.1
4,86,FALSE,baseline,sw,8,19,19,8030,0.1
4,86,FALSE,vs_right,sw,54,48,48,8030,0.1
4,86,FALSE,vs_left,sw,53,30,30,8030,0.1
4,86,FALSE,difference,sw,7,20,20,8030,0.1
4,64,TRUE,baseline,sw,2,5,5,8030,0.1
4,64,TRUE,vs_right,sw,17,30,30,8030,0.1
4,64,TRUE,vs_left,sw,17,29,29,8030,0.1
4,64,TRUE,difference,sw,0,0,0,8030,0.1
4,64,FALSE,baseline,sw,8,19,19,8030,0.1
4,64,FALSE,vs_right,sw,44,45,45,8030,0.1
4,64,FALSE,vs_left,sw,39,28,28,8030,0.1
4,64,FALSE,difference,sw,4,11,11,8030,0.1
4,31,TRUE,baseline,sw,1,4,4,8030,0.1
4,31,TRUE,vs_right,sw,7,29,29,8030,0.1
4,31,TRUE,vs_left,sw,7,30,30,8030,0.1
4,31,TRUE,difference,sw,0,0,0,8030,0.1
4,31,FALSE,baseline,sw,3,8,8,8030,0.1
4,31,FALSE,vs_right,sw,22,38,38,8030,0.1
4,31,FALSE,vs_left,sw,20,25,25,8030,0.1
4,31,FALSE,difference,sw,3,11,11,8030,0.1
20,86,TRUE,baseline,sw,0,0,0,8030,0.1
20,86,TRUE,vs_right,sw,11,6,6,8030,0.1
20,86,TRUE,vs_left,sw,21,7,7,8030,0.1
20,86,TRUE,difference,sw,2,1,1,8030,0.1
20,86,FALSE,baseline,sw,0,0,0,8030,0.1
20,86,FALSE,vs_right,sw,12,6,6,8030,0.1
20,86,FALSE,vs_left,sw,29,7,7,8030,0.1
20,86,FALSE,difference,sw,1,1,1,8030,0.1
20,64,TRUE,baseline,sw,0,0,0,8030,0.1
20,64,TRUE,vs_right,sw,9,6,6,8030,0.1
20,64,TRUE,vs_left,sw,15,7,7,8030,0.1
20,64,TRUE,difference,sw,0,0,0,8030,0.1
20,64,FALSE,baseline,sw,0,0,0,8030,0.1
20,64,FALSE,vs_right,sw,6,4,4,8030,0.1
20,64,FALSE,vs_left,sw,20,7,7,8030,0.1
20,64,FALSE,difference,sw,0,0,0,8030,0.1
20,31,TRUE,baseline,sw,0,0,0,8030,0.1
20,31,TRUE,vs_right,sw,5,7,7,8030,0.1
20,31,TRUE,vs_left,sw,7,7,7,8030,0.1
20,31,TRUE,difference,sw,0,0,0,8030,0.1
20,31,FALSE,baseline,sw,0,0,0,8030,0.1
20,31,FALSE,vs_right,sw,8,8,8,8030,0.1
20,31,FALSE,vs_left,sw,11,7,7,8030,0.1
20,31,FALSE,difference,sw,0,0,0,8030,0.1
4,86,TRUE,baseline,sw,5,12,12,8030,0.2
4,86,TRUE,vs_right,sw,26,42,42,8030,0.2
4,86,TRUE,vs_left,sw,27,46,46,8030,0.2
4,86,TRUE,difference,sw,9,16,16,8030,0.2
4,86,FALSE,baseline,sw,9,23,23,8030,0.2
4,86,FALSE,vs_right,sw,78,46,46,8030,0.2
4,86,FALSE,vs_left,sw,79,46,46,8030,0.2
4,86,FALSE,difference,sw,14,22,22,8030,0.2
4,64,TRUE,baseline,sw,3,5,5,8030,0.2
4,64,TRUE,vs_right,sw,18,36,36,8030,0.2
4,64,TRUE,vs_left,sw,17,43,43,8030,0.2
4,64,TRUE,difference,sw,6,15,15,8030,0.2
4,64,FALSE,baseline,sw,6,16,16,8030,0.2
4,64,FALSE,vs_right,sw,58,42,42,8030,0.2
4,64,FALSE,vs_left,sw,57,44,44,8030,0.2
4,64,FALSE,difference,sw,14,23,23,8030,0.2
4,31,TRUE,baseline,sw,3,7,7,8030,0.2
4,31,TRUE,vs_right,sw,8,35,35,8030,0.2
4,31,TRUE,vs_left,sw,7,34,34,8030,0.2
4,31,TRUE,difference,sw,2,14,14,8030,0.2
4,31,FALSE,baseline,sw,2,5,5,8030,0.2
4,31,FALSE,vs_right,sw,28,39,39,8030,0.2
4,31,FALSE,vs_left,sw,26,38,38,8030,0.2
4,31,FALSE,difference,sw,8,23,23,8030,0.2
20,86,TRUE,baseline,sw,0,0,0,8030,0.2
20,86,TRUE,vs_right,sw,24,6,6,8030,0.2
20,86,TRUE,vs_left,sw,25,8,8,8030,0.2
20,86,TRUE,difference,sw,0,0,0,8030,0.2
20,86,FALSE,baseline,sw,1,2,2,8030,0.2
20,86,FALSE,vs_right,sw,70,6,6,8030,0.2
20,86,FALSE,vs_left,sw,76,10,10,8030,0.2
20,86,FALSE,difference,sw,0,0,0,8030,0.2
20,64,TRUE,baseline,sw,0,0,0,8030,0.2
20,64,TRUE,vs_right,sw,17,6,6,8030,0.2
20,64,TRUE,vs_left,sw,17,7,7,8030,0.2
20,64,TRUE,difference,sw,1,2,2,8030,0.2
20,64,FALSE,baseline,sw,1,2,2,8030,0.2
20,64,FALSE,vs_right,sw,52,7,7,8030,0.2
20,64,FALSE,vs_left,sw,56,10,10,8030,0.2
20,64,FALSE,difference,sw,0,0,0,8030,0.2
20,31,TRUE,baseline,sw,0,0,0,8030,0.2
20,31,TRUE,vs_right,sw,7,6,6,8030,0.2
20,31,TRUE,vs_left,sw,7,8,8,8030,0.2
20,31,TRUE,difference,sw,0,0,0,8030,0.2
20,31,FALSE,baseline,sw,0,0,0,8030,0.2
20,31,FALSE,vs_right,sw,26,6,6,8030,0.2
20,31,FALSE,vs_left,sw,26,8,8,8030,0.2
20,31,FALSE,difference,sw,0,0,0,8030,0.2
4,86,TRUE,baseline,sw,2,6,6,8040,0.1
4,86,TRUE,vs_right,sw,27,55,55,8040,0.1
4,86,TRUE,vs_left,sw,25,39,39,8040,0.1
4,86,TRUE,difference,sw,11,29,29,8040,0.1
4,86,FALSE,baseline,sw,4,7,7,8040,0.1
4,86,FALSE,vs_right,sw,78,55,55,8040,0.1
4,86,FALSE,vs_left,sw,74,59,59,8040,0.1
4,86,FALSE,difference,sw,18,36,36,8040,0.1
4,64,TRUE,baseline,sw,1,3,3,8040,0.1
4,64,TRUE,vs_right,sw,18,51,51,8040,0.1
4,64,TRUE,vs_left,sw,17,41,41,8040,0.1
4,64,TRUE,difference,sw,9,23,23,8040,0.1
4,64,FALSE,baseline,sw,3,6,6,8040,0.1
4,64,FALSE,vs_right,sw,58,53,53,8040,0.1
4,64,FALSE,vs_left,sw,55,53,53,8040,0.1
4,64,FALSE,difference,sw,13,30,30,8040,0.1
4,31,TRUE,baseline,sw,1,3,3,8040,0.1
4,31,TRUE,vs_right,sw,8,46,46,8040,0.1
4,31,TRUE,vs_left,sw,7,41,41,8040,0.1
4,31,TRUE,difference,sw,5,26,26,8040,0.1
4,31,FALSE,baseline,sw,1,3,3,8040,0.1
4,31,FALSE,vs_right,sw,27,52,52,8040,0.1
4,31,FALSE,vs_left,sw,26,41,41,8040,0.1
4,31,FALSE,difference,sw,9,23,23,8040,0.1
20,86,TRUE,baseline,sw,0,0,0,8040,0.1
20,86,TRUE,vs_right,sw,22,7,7,8040,0.1
20,86,TRUE,vs_left,sw,24,7,7,8040,0.1
20,86,TRUE,difference,sw,1,2,2,8040,0.1
20,86,FALSE,baseline,sw,0,0,0,8040,0.1
20,86,FALSE,vs_right,sw,54,7,7,8040,0.1
20,86,FALSE,vs_left,sw,62,8,8,8040,0.1
20,86,FALSE,difference,sw,1,2,2,8040,0.1
20,64,TRUE,baseline,sw,0,0,0,8040,0.1
20,64,TRUE,vs_right,sw,16,7,7,8040,0.1
20,64,TRUE,vs_left,sw,17,8,8,8040,0.1
20,64,TRUE,difference,sw,0,0,0,8040,0.1
20,64,FALSE,baseline,sw,0,0,0,8040,0.1
20,64,FALSE,vs_right,sw,41,7,7,8040,0.1
20,64,FALSE,vs_left,sw,47,8,8,8040,0.1
20,64,FALSE,difference,sw,0,0,0,8040,0.1
20,31,TRUE,baseline,sw,0,0,0,8040,0.1
20,31,TRUE,vs_right,sw,7,8,8,8040,0.1
20,31,TRUE,vs_left,sw,7,8,8,8040,0.1
20,31,TRUE,difference,sw,0,0,0,8040,0.1
20,31,FALSE,baseline,sw,0,0,0,8040,0.1
20,31,FALSE,vs_right,sw,18,7,7,8040,0.1
20,31,FALSE,vs_left,sw,22,9,9,8040,0.1
20,31,FALSE,difference,sw,0,0,0,8040,0.1
4,86,TRUE,baseline,sw,3,10,10,8040,0.2
4,86,TRUE,vs_right,sw,27,38,38,8040,0.2
4,86,TRUE,vs_left,sw,27,26,26,8040,0.2
4,86,TRUE,difference,sw,6,13,13,8040,0.2
4,86,FALSE,baseline,sw,5,13,13,8040,0.2
4,86,FALSE,vs_right,sw,68,46,46,8040,0.2
4,86,FALSE,vs_left,sw,62,34,34,8040,0.2
4,86,FALSE,difference,sw,7,22,22,8040,0.2
4,64,TRUE,baseline,sw,1,2,2,8040,0.2
4,64,TRUE,vs_right,sw,18,29,29,8040,0.2
4,64,TRUE,vs_left,sw,18,15,15,8040,0.2
4,64,TRUE,difference,sw,4,8,8,8040,0.2
4,64,FALSE,baseline,sw,4,9,9,8040,0.2
4,64,FALSE,vs_right,sw,51,38,38,8040,0.2
4,64,FALSE,vs_left,sw,47,25,25,8040,0.2
4,64,FALSE,difference,sw,5,21,21,8040,0.2
4,31,TRUE,baseline,sw,1,2,2,8040,0.2
4,31,TRUE,vs_right,sw,8,32,32,8040,0.2
4,31,TRUE,vs_left,sw,8,17,17,8040,0.2
4,31,TRUE,difference,sw,4,13,13,8040,0.2
4,31,FALSE,baseline,sw,4,10,10,8040,0.2
4,31,FALSE,vs_right,sw,27,41,41,8040,0.2
4,31,FALSE,vs_left,sw,25,23,23,8040,0.2
4,31,FALSE,difference,sw,5,16,16,8040,0.2
20,86,TRUE,baseline,sw,1,2,2,8040,0.2
20,86,TRUE,vs_right,sw,21,5,5,8040,0.2
20,86,TRUE,vs_left,sw,18,3,3,8040,0.2
20,86,TRUE,difference,sw,2,1,1,8040,0.2
20,86,FALSE,baseline,sw,0,0,0,8040,0.2
20,86,FALSE,vs_right,sw,28,5,5,8040,0.2
20,86,FALSE,vs_left,sw,25,5,5,8040,0.2
20,86,FALSE,difference,sw,2,3,3,8040,0.2
20,64,TRUE,baseline,sw,0,0,0,8040,0.2
20,64,TRUE,vs_right,sw,15,5,5,8040,0.2
20,64,TRUE,vs_left,sw,16,2,2,8040,0.2
20,64,TRUE,difference,sw,2,1,1,8040,0.2
20,64,FALSE,baseline,sw,0,0,0,8040,0.2
20,64,FALSE,vs_right,sw,24,6,6,8040,0.2
20,64,FALSE,vs_left,sw,21,5,5,8040,0.2
20,64,FALSE,difference,sw,2,3,3,8040,0.2
20,31,TRUE,baseline,sw,0,0,0,8040,0.2
20,31,TRUE,vs_right,sw,7,6,6,8040,0.2
20,31,TRUE,vs_left,sw,8,3,3,8040,0.2
20,31,TRUE,difference,sw,1,1,1,8040,0.2
20,31,FALSE,baseline,sw,0,0,0,8040,0.2
20,31,FALSE,vs_right,sw,17,5,5,8040,0.2
20,31,FALSE,vs_left,sw,14,2,2,8040,0.2
20,31,FALSE,difference,sw,2,3,3,8040,0.2
